BAKIN　サンプルゲーム	BAKIN Sample Game
荷馬車	Cart
城門	Castle Gate
こんにちは。\nただ何となく、何かが起きるのを待っているんだ。	Hello. \I'm just waiting for something to happen.
広葉樹-デフォルメ	Broadleaf Tree-Deformation
格闘家	Fighter
ロウソクの火	Candle Flame
棚	Shelf
テーブル_2	Table_2
白い皿	White Plate
白い皿-オーバル	White Plate - Oval
白い皿-ラウンド	White Plate - Round
木の皿	Wooden Plate
木の皿-オーバル	Wooden Plate - Oval
木の皿-ラウンド	Wooden Plate - Round
銀の皿	Silver Plate
銀の皿-オーバル	Silver Plate - Oval
銀の皿-ラウンド	Silver Plate - Round
書類	Papers
地図	Map
巻物	Scroll
キャンドルスタンド-卓上	Candleholder - Tabletop
キャンドルスタンド-手持ち	Candleholder - Handheld
キャンドルスタンド-壁掛け	Candleholder - Wall Mounted
壁棚１セット	Wall Shelf 1 set
壁棚１	Wall Shelf 1
壁棚２セット	Wall Shelf 2 Set
壁棚２	Wall Shelf 2
壁棚３セット	Wall Shelf 3 Set
壁棚３	Wall Shelf 3
リュック	Backpack
マリンバッグ	Marine Bag
農具A	Agricultural Tool A
農具B	Agricultural Tool B
釣り竿	Fishing Rod
ランタン-点灯	Lantern-lit
ランタン	Lantern
ベッド1	Bed 1
ベッド2	Bed 2
牢屋_ベッド	Prison_bed
牢屋_檻_ドア無し	Prison_cage_no door
牢屋_手錠	Prison_handcuffs
牢屋_足錠	Prison_foot lock
花２B	Flower 2B
花２A	Flower 2A
ソファ	Sofa
ソファ-一人掛け用	Sofa-for one person
木の丸テーブル	Wooden Round Table
木の丸椅子	Wooden Round Chair
タンス１	Drawers 1
タンス２	Drawers 2
鉢植え１	Potted Plant 1
鉢植え１-鉢植え	Potted Plant 1-Potted plant
鉢植え２	Potted Plant 2
鉢植え２-鉢植え	Potted Plant 2-Potted plant
鉢植え_花		Potted Plant-Flower
植木鉢１	Flowerpot 1
植木鉢１-鉢植え	Flowerpot 1-Pot
植木鉢１-植木	Flowerpot 1-Tree
植木鉢２	Flowerpot 2
植木鉢２-鉢植え	Flowerpot 2-Pot
植木鉢２-植木	Flowerpot 2-Tree
絨毯	Carpet
絵画-女性	Painting -Woman
絵画-風景	Painting-Landscape
絵画-地図	Painting-Map
鍛冶場	Blacksmith
鍛冶場-水場	Blacksmith-Waterfield
鍛冶場-作業台	Blacksmith-Workbench
鍛冶場-ハンマー	Blacksmith-Hammer
鍛冶場-挟み	Blacksmith-Pinch
鍛冶場-ふいご	Blacksmith-Bellows
ピアノ	Piano
ピアノ椅子	Piano Chair
トロフィー金	Trophy-Gold
トロフィー銀	Trophy-Silver
トロフィー銅	Trophy-Bronze
トマト	Tomato
トマト_ザル	Tomato _ colander
トマト_箱	Tomato _ box
ニンジン	Carrot
ニンジン_ザル	Carrot _ colander
ニンジン_箱	Carrot _ box
ジャガイモ	Potato
ジャガイモ_ザル	Potato _ colander
ジャガイモ_箱	Potato _ box
ズッキーニ	Zucchini
ズッキーニ_ザル	Zucchini_Zaru
ズッキーニ_箱	Zucchini_box
ロッキングチェア	Rocking Chair
タペストリー１	Tapestry 1
タペストリー２	Tapestry 2
タペストリー３	Tapestry 3
リンゴ	Apple
パン	Bread
木のコップ	Wooden Cup
ワイングラス	Wine Glass
鉄のコップ	Iron Cup
酒瓶	Liquor Bottle
ワイン	Wine
マグカップ	Mug
ビールジョッキ	Beer Mug
ティーポット	Teapot
ポット	Pot
リクライニングチェア	Reclining Chair
タル	Barrel
敷き布	Mat cloth
木箱_2	Wooden Box_2
ノートパソコン	Laptop
ゴミ箱	Garbage Can
地球儀	Globe
みかん箱	Mandarin Orange Box
みかん	Mandarin Orange
招き猫	Beckoning Cat
城門	Castle Gate
城壁00	Castle Wall 00
城壁01	Castle Wall 01
城壁02	Castle Wall 02
城壁03	Castle Wall 04
城壁パーツ00A	Castle Wall Parts 00A
城壁パーツ00B	Castle Wall Parts 00B
城壁パーツ00C	Castle Wall Parts 00C
城壁パーツ01A	Castle Wall Parts 01A
城壁パーツ01B	Castle Wall Parts 01B
城壁パーツ01C	Castle Wall Parts 01C
城壁パーツ02A	Castle Wall Parts 02A
城壁パーツ02B	Castle Wall Parts 02B
城壁パーツ02C	Castle Wall Parts 02C
城壁パーツ03A	Castle Wall Parts 03A
城壁パーツ03B	Castle Wall Parts 03B
城壁パーツ03C	Castle Wall Parts 03C
お城パーツ-旗	Castle Parts-flag
お城パーツ-煙突	Castle Parts-chimney
お城パーツ-円形壁00	Castle Parts-Circular wall 00
お城パーツ-円形壁01	Castle Parts-Circular wall 01
お城パーツ-円形壁02	Castle Parts -Circular wall 02
お城パーツ-円形壁の屋根00	Castle Parts-Roof of circular walls 00
お城パーツ-円形壁の屋根01	Castle Parts-Roof with circular walls 01
お城パーツ-円形壁の屋根02	Castle Parts-Roof with circular walls 02
お城パーツ-先端00	Castle Parts-tip 00
お城パーツ-扉枠	Castle Parts-door frame
お城パーツ-窓00	Castle Parts-window 00
お城パーツ-窓01	Castle Parts-window 01
お城パーツ-壁01	Castle Parts-wall 01
お城パーツ-壁02	Castle Parts-wall 02
お城パーツ-壁03	Castle Parts-wall 03
お城パーツ-屋根	Castle Parts-roof
生垣A	Hedge A
生垣B	Hedge B
生垣C	Hedge C
生垣D	Hedge D
生垣‐赤A	Hedge-Red A
生垣‐赤B	Hedge-Red B
生垣‐赤C	Hedge-Red C
生垣‐赤D	Hedge-Red D
生垣‐白A	Hedge-White A
生垣‐白B	Hedge-White B
生垣‐白C	Hedge-White C
生垣‐白D	Hedge-White D
生垣‐ピンクA	Hedge-Pink A
生垣‐ピンクB	Hedge-Pink B
生垣‐ピンクC	Hedge-Pink C
生垣‐ピンクD	Hedge-Pink D
花１A	Flower 1A
花１B	Flower 1B
花１C	Flower 1C
花２A_2	Flower 2A_2
花２B_2	Flower 2B_2
花２C	Flower 2C
花３A	Flower 3A
花３B	Flower 3B
花３C	Flower 3C
草B	Grass B
草C	Grass C
枯草A	Dead grass A
枯草B	Dead grass B
枯草C	Dead grass C
金の像	Gold statue
財宝	treasure
宝玉	Jewel
宝玉-玉	Jewels-Balls
宝玉-台座	Jewel-Pedestal
キッチン	Kitchen
キッチンセット	Kitchen set
カップ	Cup
包丁	Kitchen Knife
まな板	Cutting Board
空きビン１	Empty Bottle 1
空きビン２	Empty Bottle 2
深鍋	Deep Pot
深鍋-料理	Deep Pot-cooking
鍋	Pot
フライパン	Frying Pan
金塊	Bullion
革袋	Leather Bag
広葉樹	Broadleaf Tree
広葉樹-紅葉	Broadleaf Tree-Autumn leaves
広葉樹-果実	Broadleaf Tree-Fruit
針葉樹	Needle-leaved Tree
針葉樹-枯れ	Needle-leaved Tree-withered
針葉樹-雪	Needle-leaved Tree-snow
熱帯樹A	Tropical Tree A
熱帯樹B	Tropical Tree B
ツルA	Vine A
ツルB	Vine B
ツルＣ　	Vine C
ツルD	Vine D
ツルE	Vine E
ツルF	Vine F
熱帯植物A	Tropical Plant A
熱帯植物B	Tropical Plant B
亜熱帯樹A	Subtropical Tree A
亜熱帯樹B	Subtropical Tree B
バナナの木	Banana Tree
バナナの木-実なし	Banana Tree-no fruit
小麦	Wheat
小麦-黄金	Wheat-golden
シダ植物１	Fern Plant 1
シダ植物２	Fern Plant 2
シダ植物３	Fern Plant 3
キノコ１	Mushroom 1
キノコ２	Mushroom 2
キノコ３	Mushroom 3
水草	Aquatic plants
水蓮	Water Lilly
蓮	Lotus
なにもない！	There is nothing!
牢屋セット	Prison Set
青色ボタン_old	BlueButton_old
緑色ボタン_old	GreenButton_old
赤色ボタン_old	RedButton_old
黄色ボタン_old	YellowButton_old
キャンドルスタンド-火	Candleholder-Fire
暖炉	Fireplace
暖炉-炎	Fireplace-Flame
武器ラック	Weapons Rack
武器ラック-武器あり	Weapons Rack Set
武器ラック-武器	Weapons Rack Weapon
鉄の剣	Iron Sword
武器壁掛け1	Weapon Wall Hanging 1
武器壁掛け2	Weapon Wall Hanging 2
はしご	Ladder
柱時計	Wall Clock
柱時計-針	Wall Clock Hand
本棚	Book Shelf
本棚01	Book Shelf 01
本棚02	Book Shelf 02
本01	Book 01
本02	Book 02
本03	Book 03
本04	Book 04
本05	Book 05
本06	Book 06
本07	Book 07
本08	Book 08
本09	Book 09
本10	Book 10
積まれた本01	Stacked Books 01
積まれた本02	Stacked Books 02
積まれた本03	Stacked Books 03
岩A	Rock A
岩B	Rock B
岩C	Rock C
岩D	Rock D
岩E	Rock E
岩F	Rock F
岩-雪A	Rock-Snow A
岩-コケ大E	Rock-Moss Large E
岩-コケ大D	Rock-Moss Large D
岩-コケ大C	Rock-Moss Large C
岩-コケ大B	Rock-Moss Large B
岩-コケ大A	Rock-Moss Large A
岩-コケF	Rock-Moss F
岩-コケE	Rock-Moss E
岩-コケD	Rock-Moss D
岩-コケC	Rock-Moss C
岩-コケB	Rock-Moss B
岩-コケA	Rock-Moss A
岩-雪F	Rock-Snow F
岩-雪E	Rock-Snow E
岩-雪D	Rock-Snow D
岩-雪C	Rock-Snow C
岩-雪B	Rock-Snow B
岩-コケ大F	Rock-Moss Large F
石A	Stone A
石B	Stone B
石C	Stone C
石D	Stone D
石E	Stone E
石F	Stone F
石-雪A	Stone-Snow A
石-雪B	Stone-Snow B
石-雪C	Stone-Snow C
石-雪D	Stone-Snow D
石-雪E	Stone-Snow E
石-雪F	Stone-Snow F
石-コケA	Stone-Moss A
石-コケB	Stone-Moss B
石-コケC	Stone-Moss C
石-コケD	Stone-Moss D
石-コケE	Stone-Moss E
石-コケF	Stone-Moss F
石-コケ大A	Stone-Moss Large A
石-コケ大B	Stone-Moss Large B
石-コケ大C	Stone-Moss Large C
石-コケ大D	Stone-Moss Large D
石-コケ大E	Stone-Moss Large E
石-コケ大F	Stone-Moss Large F
自然	Nature
岩	Rocks
石	Stones
地形01a	Terrain 01a
地形01b	Terrain 01b
地形01c	Terrain 01c
地形01d	Terrain 01d
大きな地形01	BigTerrain 01
地形02a	Terrain 02a
地形02b	Terrain 02b
地形02c	Terrain 02c
地形02d	Terrain 02d
大きな地形02	BigTerrain 02
木のテーブル	Wooden Table
地形	Terrains
遠景	Skybox
地形03a	Terrain 03a
地形03b	Terrain 03b
地形03c	Terrain 03c
地形03d	Terrain 03d
大きな地形03	BigTerrain 03
岩-氷	Rock-Ice
地形04a	Terrain 04a
地形04b	Terrain 04b
地形04c	Terrain 04c
地形04d	Terrain 04d
大きな地形04	BigTerrain 04
岩-火山A	Rock-VolcanoA
岩-火山F	Rock-VolcanoF
岩-火山B	Rock-VolcanoB
岩-火山C	Rock-VolcanoC
岩-火山D	Rock-VolcanoD
岩-火山E	Rock-VolcanoE
広葉樹	Broadleaf Trees
広葉樹-紅葉	Broadleaf Tree-Autumn leaves
広葉樹-果実	Broadleaf Tree-Fruit
針葉樹	Needle-leaved Trees
針葉樹-枯れ	Needle-leaved Tree-withered
針葉樹-雪	Needle-leaved Tree-snow
熱帯樹A	Tropical Tree A
熱帯樹B	Tropical Tree B
ツルA	Vine A
ツルB	Vine B
ツルＣ　	Vine C
ツルD	Vine D
ツルE	Vine E
ツルF	Vine F
熱帯植物A	Tropical Plant A
熱帯植物B	Tropical Plant B
亜熱帯樹A	Subtropical Tree A
亜熱帯樹B	Subtropical Tree B
バナナの木	Banana Tree
バナナの木-実なし	Banana Tree-no fruit
小麦	Wheat
小麦-黄金	Wheat-golden
シダ植物１	Fern Plant 1
シダ植物２	Fern Plant 2
シダ植物３	Fern Plant 3
キノコ１	Mushroom 1
キノコ２	Mushroom 2
キノコ３	Mushroom 3
水草	Aquatic plants
水蓮	Water Lilly
蓮	Lotus
自然	Nature
草	Grasses
水生植物	Aquatic Plants
シダ植物	Fern Plants
花	Flowers
キノコ	Mushrooms
熱帯植物	Tropical Plants
広葉樹-デフォルメ	Broadleaf Trees-Deformation
広葉樹-デフォルメ-果実	Broadleaf Trees-Deformation-Fruits
広葉樹-デフォルメ-紅葉	Broadleaf Trees-Deformation-Red Leaves
針葉樹‐デフォルメ	Needle-leaved Trees-Deformation
針葉樹-デフォルメ	Needle-leaved Trees-Deformation
針葉樹-デフォルメ_枯れ木	Needle-leaved Trees-Deformation_Dry Tree
針葉樹-デフォルメ_雪	Needle-leaved Trees-Deformation_Snow
花１A	Flower 1A
花１B	Flower 1B
花１C	Flower 1C
花２A	Flower 2A
花２B	Flower 2B
花２C	Flower 2C
花３A	Flower 3A
花３B	Flower 3B
花３C	Flower 3C
草A	Grass A
草B	Grass B
草C	Grass C
枯草A	Dead grass A
枯草B	Dead grass B
枯草C	Dead grass C
木	Tree
木_紅葉	Tree_Red Tree
木_雪	Tree_Snow
細めの木_紅葉	Thin Tree_Red leaves
細めの木_雪	Thin Tree_Snow
細めの木	Thin Tree
木１	Tree 1
木２	Tree 2
木３	Tree 3
枯れ木A	Dry Tree A
枯れ木B	Dry Tree B
サボテン1a	Cactus1a
サボテン2a	Cactus2a
サボテン3a	Cactus3a
サボテン1b	Cactus1b
サボテン2b	Cactus2b
サボテン3b	Cactus3b
サボテン	Cactus
ボスゴブリン	Boss Goblin
噴水-水	Fountain - Water
木の手すり-端	Wooden Railing-End
木の手すり-コーナー	Wooden Railing-Corner
木の手すり	Wooden Railing
石の手すり-端	Stone Railing-End
石の手すり-コーナー	Stone Railing-Corner
石の手すり	Stone Railing
階段-草01	Stairs-Grass 01
階段-草02	Stairs-Grass 02
階段-泥01	Stairs-Mud 01
道-草	Road-Grass
道-草-行き止まり	Road-Grass-Dead End
道-草-コーナー	Road-Grass-Corner
道-草-分かれ道	Road-Grass-Forked Road
道-草-十字路	Road-Grass-Crossroads
道-泥	Road-mud
道-泥-行き止まり	Road-Mud-Dead End
道-泥-コーナー	Road-Mud-Corner
道-泥-分かれ道	Road-Mud-Forked Road
道-泥-十字路	Road-Mud-Crossroads
窓枠01	Window Frame 01
窓の明かり01	Window Light 01
水瓶	Water Bottle
階段-遺跡01	Stairs-Ruins 01
ダンジョン入口	Dungeon Entrance
ダンジョン出口	Dungeon Exit
木箱２	Wooden Box 2
草-装飾-角	Grass-Decoration-Corner
草-装飾-側面	Grass-Decoration-Side
つるA	Vine A
つるB	Vine B
茂み-大	Bush-Large
茂み	Bush
お城	Castle
レンガの家-屋根B	Brick House-Roof B
木のゲート	Wooden Gate
見張り塔	watchtower
レンガの家-壁02	Brick House-Wall 02
備蓄食料	Stockpile Food
藁葺きの家-壁02	Thatched House-Wall 02
壁時計	Wall Clock
木の柵-コーナー	Wooden Fence-Corner
木の柵-端	Wooden Fence-End
木の柵	Wooden Fence
カウンターテーブル	Counter Table
カウンターテーブル-コーナー	Counter Table-Corner
カウンターテーブル-端	Counter Table-End
棺桶	Coffin
橋２-高	Bridge 2-High
橋２	Bridge 2
木のドア	Wooden Door
ドラゴンの像-L	Dragon Statue-L
ドラゴンの像-R	Dragon Statue-R
橋	Bridge
橋-高	Bridge-High
花-シンプルA	Flower-Simple A
花-シンプルB	Flower-Simple B
花-シンプルC	Flower-Simple C
柱	Pillar
ドア１	Door 1
ドア２	Door 2
立て看板	Standing Signboard
石畳み	Cobblestone
切り株	Stump
教会のドア	Church Door
瓦礫	Rubble
石の橋	Stone Bridge
石の橋-長	Stone Bridge-Long
剣立て	Sword Stand
王座	Throne
木の橋	Wooden Bridge
天球儀	Armillary Sphere
噴水-水	Fountain-Water
噴水	Fountain
お城-旗	Castle-Flag
お城-小	Castle-Small
風車小屋-小	Windmill-Small
風車小屋-大	Windmill-Large
レンガの家-A	Brick House-A
レンガの家-B	Brick House-B
レンガの家01	Brick House 01
置き看板-宿屋	Signboard-Inn
置き看板-道具屋	Signboard-Tool Shop
置き看板-武器屋	Signboard-Weapon Shop
置き看板-防具屋	Signboard-Armor Shop
置き看板-無地	Signboard-Plain
レンガの家-ドア	Brick House-Door
レンガの家-柱	Brick House-Pillar
レンガの家-壁03	Brick House-Wall 03
藁葺きの家-A	Thatched House-A
藁葺きの家-B	Thatched House-B
藁葺きの家-屋根B	Thatched House-Roof B
藁葺きの家-柱	Thatched House-Pillars
藁葺きの家-壁03	Thatched House-Wall 03
藁葺きの家01	Thatched House 01
木の家-A	Tree House-A
木の家-B	Tree House-B
木の家-屋根B	Tree House-Roof B
木の家-柱	Tree House-Pillar
木の家-壁02	Tree House-Wall 02
木の家-壁03	Tree House-Wall 03
木の家01	Tree House 01
木の柵A	Wooden Fence A
木の柵B	Wooden Fence B
木の柵C	Wooden Fence C
木の柵D	Wooden Fence D
木の柵E	Wooden Fence E
木の柵F	Wooden Fence F
木の柵G	Wooden Fence G
テーブル	Table
骸骨	Skeleton
石像	Stone Statue
石の棺	Stone Coffin
クリスタル	Crystal
街灯	Street Lamp
木箱１	Wooden Box 1
バルコニー01パーツ-b	Balcony 01 parts-b
バルコニー01パーツ-c	Balcony 01 parts-c
バルコニー02パーツ-b	Balcony 02 parts-b
バルコニー02パーツ-c	Balcony 02 parts-c
バルコニー01	Balcony 01
バルコニー02	Balcony 02
バルコニー01パーツ-a	Balcony 01 parts-a
バルコニー02パーツ-a	Balcony 02 parts-a
窓01	Window 01
窓02	Window 02
窓03	Window 03
窓04	Window 04
窓05	Window 05
窓06	Window 06
窓07	Window 07
窓08	Window 08
窓09	Window 09
窓10	Window 10
窓11	Window 11
レンガの家-屋根A	Brick House-Roof A
レンガの家-壁01	Brick House-Wall 01
レンガの家03	Brick House 03
藁葺きの家-ドア	Thatched House-Door
藁葺きの家-屋根A	Thatched House-Roof A
藁葺きの家-壁01	Thatched House-Wall 01
藁葺きの家03	Thatched House 03
木の家-ドア	Tree House-Door
木の家-屋根A	Tree House-Roof A
木の家-壁01	Tree House-Wall 01
木の家03	Tree House 03
レンガの家-パーツ	Brick House-Parts
藁葺きの家-パーツ	Thatched House-Parts
木の家-パーツ	Tree House-Parts
木の柵	Wooden Fence
植木鉢_サブグラフィック	Flowerpot_Subgraphic
バルコニー	Balconies
窓	Windows
食べ物	Food
家具	Furniture
小物	Small Goods
背景物	Background Objects
柵	Fences
ドア	Doors
岩・石・地形	Rocks-Stones-Terrains
猫A	Cat A
猫B	Cat B
兵士（兜無し）	Soldier (no helmet)
サポートキャスト	Support Casts
モンスターキャスト	Monster Casts
ヒーローキャスト	Hero Casts
2Dキャスト	2D Casts
スプライト用	For Sprites
レイアウト用	For Layouts
アクション用	For Actions
アクション用_2	For Actions_2
フキダシ素材	Speech Bubble Assets
フキダシ下地	Speech Bubble Base
フキダシ1	Speech Bubble  1
フキダシ2	Speech Bubble  2
フキダシ3	Speech Bubble  3
フキダシ4	Speech Bubble  4
フキダシ5	Speech Bubble  5
フキダシ6	Speech Bubble  6
影	Shadow
吹き出し型メッセージ	Speech Bubble Message
吹き出し矢印	Speech Bubble Arrow
  #3D\n壁01と隣り合わせに使用します。	  #3D\nUsed next to Wall 01.
  #3D\n壁02,壁03と隣り合わせに使用します。	  #3D\nUsed next to Wall 02 and Wall 03.
 #2D reservedフォルダにあるデフォルトキャストのデータと見た目上は同じですが、イメージデータは別になっています。このデータに改変を加えてもデフォルトキャストのデータに影響はありません。	 #2D It is visually identical to the default cast data in the reserved folder, but the image data is separate. Any modifications to this data will not affect the default cast data.
reservedフォルダにあるデフォルトキャストのデータと見た目上は同じですが、イメージデータは別になっています。このデータに改変を加えてもデフォルトキャストのデータに影響はありません。	It is visually identical to the default cast data in the reserved folder, but the image data is separate. Any modifications to this data will not affect the default cast data.
